Municipality,2020,2022
Alblasserdam,2297,2290
Albrandswaard,1180,1197
Alphen aan den Rijn,886,897
Barendrecht,2467,2488
Bodegraven-Reeuwijk,463,474
Brielle,627,643
Capelle aan den IJssel,4747,4751
Delft,4573,4614
Dordrecht,1519,1541
Goeree-Overflakkee,192,195
Gorinchem,1966,2011
Gouda,4449,4491
's-Gravenhage,6620,6712
Hardinxveld-Giessendam,1082,1098
Hellevoetsluis,977,988
Hendrik-Ido-Ambacht,2940,3108
Hillegom,1725,1736
Hoeksche Waard,325,330
Kaag en Braassem,432,442
Katwijk,2657,2662
Krimpen aan den IJssel,3841,3833
Krimpenerwaard,380,385
Lansingerland,1168,1203
Leiden,5710,5724
Leiderdorp,2337,2389
Leidschendam-Voorburg,2351,2351
Lisse,1463,1466
Maassluis,3918,4044
Midden-Delfland,410,413
Molenlanden,242,246
Nieuwkoop,369,373
Nissewaard,1158,1178
Noordwijk,745,760
Oegstgeest,3399,3496
Papendrecht,3414,3421
Pijnacker-Nootdorp,1491,1534
Ridderkerk,1948,2006
Rijswijk,3901,4078
Rotterdam,2993,3001
Schiedam,4417,4472
Sliedrecht,1965,2016
Teylingen,1319,1340
Vlaardingen,3114,3174
Voorschoten,2297,2306
Waddinxveen,1055,1129
Wassenaar,515,530
Westland,1358,1392
Westvoorne,277,281
Zoetermeer,3637,3653
Zoeterwoude,406,440
Zuidplas,756,790
Zwijndrecht,2204,2206
